,Ticker,Volatility,Sector,PEG Ratio,Market Cap,Trailing PS,Profit Margin,Forward EPS,Market Cap Categorised,Price,Three Year SL Growth Rate (%),Three Year Growth Against Market (%)
6093,SSKN,0.3140585256049719,Healthcare,-0.33,39416096.0,1.0900167,-0.15345,-0.08,Micro-Cap,1.149999976158142,24.9999951409258,-20.942437614877274
6095,SSNC,9.2393260605836,Technology,1.51,14221486080.0,2.6919339,0.12307,5.38,Large-Cap,57.54999923706055,16.17493929195016,-29.767493463852915
6097,SSP,4.288882130320514,Communication Services,0.5,742172928.0,0.30253074,0.07986,0.12,Small-Cap,9.029999732971191,45.60614604562601,-0.33628671017706324
6098,SSRM,2.539148262066281,Basic Materials,-0.7,3096374784.0,2.697113,0.16911,0.88,Mid-Cap,14.93000030517578,-4.464435715070764,-50.40686847087384
6102,SSTI,6.4987844497983005,Technology,3.63,350085920.0,4.3218884,0.07882,0.53,Small-Cap,28.34499931335449,-16.484972126520734,-62.42740488232381
6103,SSTK,24.02925259149971,Communication Services,3.52,2394955776.0,2.8930666,0.09193,4.01,Mid-Cap,68.11000061035156,98.4109237518326,52.46849099602952
6106,SSYS,6.872854303103134,Technology,3.14,1017130368.0,1.5612539,-0.04447,0.38,Small-Cap,15.06999969482422,-6.455623067196435,-52.39805582299951
6107,ST,7.991676507028513,Technology,1.27,7291885568.0,1.8097323,0.07711,4.32,Mid-Cap,48.0,51.51515005559488,5.572717299791805
6108,STAA,30.37858731482253,Healthcare,3.56,3388606976.0,11.91531,0.13627,1.23,Mid-Cap,70.47000122070312,90.0998160260095,44.15738327020643
6110,STAG,5.37629469906743,Real Estate,7.09,6249097728.0,9.506572,0.27128,0.71,Mid-Cap,33.75,48.03866786014184,2.096235104338767
6113,STC,12.212916792444812,Financial Services,2.24,1133979136.0,0.3692665,0.052849997,5.17,Small-Cap,41.13999938964844,54.53131910327277,8.588886347469696
6115,STE,26.448491141150026,Healthcare,2.3,18573133824.0,3.882597,-0.0058399998,8.75,Large-Cap,185.44000244140625,27.639648776069485,-18.30278397973359
6123,STGW,2.4268967950560807,Communication Services,1.15,2924597504.0,1.088104,0.010140001,0.96,Mid-Cap,6.46999979019165,448.3050913380607,402.36265858225767
6130,STKL,2.973748891676325,Consumer Defensive,8.99,933507520.0,0.9987648,-0.00518,0.15,Small-Cap,8.09000015258789,216.01563802396444,170.07320526816136
6131,STKS,3.7205589781269612,Consumer Cyclical,11.58,260468592.0,0.8226068,0.042740002,0.92,Small-Cap,8.479999542236328,493.0069827469139,447.0645499911108
6134,STM,6.871557672873267,Technology,2.31,44593274880.0,2.76496,0.26804,4.39,Large-Cap,47.43999862670898,124.18539728917635,78.24296453337328
6135,STN,9.07465508095631,Industrials,4.52,6743667200.0,1.5129828,0.055419996,2.86,Mid-Cap,60.2599983215332,121.65457012850224,75.71213737269917
6136,STNE,25.566963837143803,Technology,13.9,3670393600.0,0.39285654,-0.05559,0.85,Mid-Cap,11.600000381469728,-45.308812436669,-91.25124519247208
6137,STNG,15.455019437627953,Energy,-0.13,3358643456.0,2.1490188,0.40774,6.96,Mid-Cap,58.369998931884766,158.8809071472427,112.93847439143963
6138,STOK,14.405305092452084,Healthcare,0.14,383202048.0,30.890936,0.0,-3.05,Small-Cap,8.510000228881836,-59.10619679347282,-105.04862954927589
6139,STR,6.5587857775668095,Energy,5.3,3877261568.0,10.490086,0.49817002,1.7,Mid-Cap,25.399999618530277,195.34881967283653,149.40638691703344
6140,STRA,26.52334167123196,Consumer Defensive,1.98,2284995584.0,2.1445692,0.0438,4.07,Mid-Cap,92.48999786376952,-34.77914047057736,-80.72157322638043
6142,STRL,7.307589294988035,Industrials,1.0,1141978752.0,0.64539135,0.060170002,4.01,Small-Cap,37.790000915527344,358.0606171579072,312.11818440210413
6143,STRM,0.2921128341595471,Healthcare,-0.49,101627024.0,4.2012,-0.38144,-0.17,Micro-Cap,1.75,84.21052862732698,38.268095871523904
6144,STRO,6.455879716670255,Healthcare,0.07,285762848.0,4.2165327,-1.7589,-3.01,Small-Cap,4.760000228881836,-55.92592458502585,-101.86835734082892
6145,STRR,0.9752013288113419,Healthcare,0.97,12106560.0,0.10794875,-0.046830002,0.25,Micro-Cap,0.7699999809265137,-76.16099144335654,-122.1034241991596
